M̻s,Etanol,GasolinaC
Jan-19,2.805,3.96
Feb-19,2.795,3.921
Mar-19,2.982,4.037
Apr-19,3.028,4.137
May-19,2.938,4.223
Jun-19,2.792,4.129
Jul-19,2.679,3.964
Aug-19,2.727,3.968
Sep-19,2.768,3.978
Oct-19,2.82,4.024
Nov-19,2.951,4.083
Dec-19,3.093,4.208
Jan-20,3.151,4.212
Feb-20,3.194,4.175
Mar-20,3.103,4.036
Apr-20,2.553,3.524
May-20,2.381,3.354
Jun-20,2.604,3.588
Jul-20,2.895,3.948
Aug-20,2.843,3.96
Oct-20,3.047,4.1
Nov-20,3.152,4.153
Dec-20,3.153,4.13
Jan-21,3.19,4.261
Feb-21,3.373,4.611
Mar-21,3.992,5.178
Apr-21,3.681,5.118
May-21,4.205,5.253
Jun-21,4.239,5.28
Jul-21,4.164,5.352
Aug-21,4.567,5.606
Sep-21,4.785,5.797
Oct-21,4.975,6.035
Nov-21,5.331,6.316
Dec-21,5.046,6.192
Jan-22,4.907,6.17
Feb-22,4.963,6.451
Mar-22,5.318,7.025
Apr-22,5.804,7.367
May-22,5.72,7.35
Jun-22,5.44,7.23
Jul-22,4.85,5.78
Aug-22,4.51,5.5
Sep-22,3.91,5.11
Oct-22,3.88,4.96
Nov-22,4.45,5.46
Dec-22,4.45,5.36
